Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Frequency Value,Cluster,Assigned Discount,Send New Subscriber Offers
39,29,Male,Dress,Clothing,37,Winter,3.7,1,1,1,44,Quarterly,2,1,0.1,Yes
40,70,Male,Pants,Clothing,60,Summer,4.2,1,1,1,18,Monthly,3,4,0.15,No
41,69,Male,Handbag,Accessories,76,Winter,4.6,1,1,1,31,Quarterly,2,1,0.1,Yes
42,67,Male,Scarf,Accessories,39,Spring,4.5,1,1,1,40,Annually,1,3,0.12,Yes
43,20,Male,Coat,Outerwear,100,Spring,4.1,1,1,1,15,Annually,1,2,0.07,No
44,25,Male,Scarf,Accessories,69,Fall,3.7,1,1,1,19,Bi-Weekly,4,2,0.07,No
45,39,Male,Hat,Accessories,53,Summer,4.6,1,1,1,45,Weekly,5,4,0.15,No
46,50,Male,Socks,Clothing,21,Fall,2.9,1,1,1,25,Annually,1,3,0.12,Yes
47,57,Male,Shirt,Clothing,43,Summer,2.9,1,1,1,45,Quarterly,2,4,0.15,No
48,55,Male,Jewelry,Accessories,54,Winter,4.5,1,1,1,36,Weekly,5,1,0.1,Yes
49,42,Male,Shirt,Clothing,55,Summer,2.7,1,1,1,38,Monthly,3,4,0.15,No
50,68,Male,Hoodie,Clothing,30,Spring,4.6,1,1,1,34,Bi-Weekly,4,3,0.12,Yes
51,49,Male,Blouse,Clothing,28,Spring,3.7,1,1,1,39,Bi-Weekly,4,3,0.12,Yes
52,59,Male,Skirt,Clothing,59,Winter,4.7,1,1,1,7,Quarterly,2,1,0.1,Yes
53,42,Male,T-shirt,Clothing,20,Summer,2.6,1,1,1,26,Weekly,5,4,0.15,No
54,29,Male,Skirt,Clothing,24,Winter,3.9,1,1,1,35,Weekly,5,1,0.1,Yes
55,47,Male,Coat,Outerwear,94,Summer,4.2,1,1,1,35,Bi-Weekly,4,2,0.07,No
56,40,Male,Jacket,Outerwear,28,Winter,3.0,1,1,1,49,Annually,1,2,0.07,No
57,41,Male,Backpack,Accessories,73,Summer,4.7,1,1,1,46,Weekly,5,4,0.15,No
58,21,Male,Coat,Outerwear,64,Summer,4.4,1,1,1,17,Bi-Weekly,4,2,0.07,No
59,69,Male,Hoodie,Clothing,54,Summer,4.2,1,1,1,29,Monthly,3,4,0.15,No
60,63,Male,Belt,Accessories,79,Spring,4.6,1,1,1,4,Weekly,5,3,0.12,Yes
61,50,Male,Sweater,Clothing,37,Summer,4.0,1,1,1,17,Weekly,5,4,0.15,No
62,55,Male,Scarf,Accessories,68,Winter,4.7,1,1,1,21,Quarterly,2,1,0.1,Yes
63,30,Male,Sneakers,Footwear,21,Spring,3.8,1,1,1,31,Bi-Weekly,4,0,0.05,No
64,33,Male,Sunglasses,Accessories,79,Winter,2.7,1,1,1,43,Weekly,5,1,0.1,Yes
65,65,Male,Boots,Footwear,83,Fall,4.8,1,1,1,18,Bi-Weekly,4,0,0.05,No
66,65,Male,Backpack,Accessories,36,Spring,4.8,1,1,1,44,Quarterly,2,3,0.12,Yes
67,31,Male,Blouse,Clothing,94,Winter,4.7,1,1,1,3,Quarterly,2,1,0.1,Yes
68,45,Male,Coat,Outerwear,33,Winter,4.4,1,1,1,49,Monthly,3,2,0.07,No
69,57,Male,Handbag,Accessories,46,Summer,3.9,1,1,1,21,Quarterly,2,4,0.15,No
70,48,Male,Belt,Accessories,70,Summer,4.4,1,1,1,5,Weekly,5,4,0.15,No
71,22,Male,Belt,Accessories,29,Fall,4.2,1,1,1,32,Quarterly,2,2,0.07,No
72,36,Male,Dress,Clothing,48,Summer,2.9,1,1,1,34,Annually,1,4,0.15,No
73,18,Male,Dress,Clothing,26,Winter,2.9,1,1,1,21,Quarterly,2,1,0.1,Yes
74,48,Male,Pants,Clothing,85,Spring,2.7,1,1,1,43,Bi-Weekly,4,3,0.12,Yes
75,49,Male,Gloves,Accessories,58,Spring,4.5,1,1,1,3,Monthly,3,3,0.12,Yes
76,64,Male,Scarf,Accessories,85,Summer,2.7,1,1,1,21,Annually,1,4,0.15,No
77,50,Male,Hat,Accessories,43,Summer,4.2,1,1,1,32,Monthly,3,4,0.15,No
78,22,Male,Dress,Clothing,53,Summer,3.3,1,1,1,36,Bi-Weekly,4,4,0.15,No
79,50,Male,Skirt,Clothing,91,Spring,4.7,1,1,1,50,Bi-Weekly,4,3,0.12,Yes
80,38,Male,Jacket,Outerwear,96,Winter,2.6,1,1,1,43,Quarterly,2,2,0.07,No
81,19,Male,Sandals,Footwear,72,Summer,3.3,1,1,1,24,Quarterly,2,0,0.05,No
82,67,Male,Shoes,Footwear,96,Summer,2.6,1,1,1,36,Quarterly,2,0,0.05,No
83,19,Male,Pants,Clothing,28,Spring,4.0,1,1,1,21,Quarterly,2,3,0.12,Yes
84,36,Male,Dress,Clothing,40,Summer,4.1,1,1,1,34,Weekly,5,4,0.15,No
85,52,Male,Coat,Outerwear,32,Spring,4.4,1,1,1,42,Quarterly,2,2,0.07,No
86,53,Male,Sunglasses,Accessories,95,Winter,4.5,1,1,1,2,Bi-Weekly,4,1,0.1,Yes
87,24,Male,Hoodie,Clothing,41,Spring,3.7,1,1,1,47,Bi-Weekly,4,3,0.12,Yes
88,52,Male,Shoes,Footwear,53,Fall,3.7,1,1,1,44,Bi-Weekly,4,0,0.05,No
89,33,Male,T-shirt,Clothing,47,Fall,3.5,1,1,1,35,Monthly,3,3,0.12,Yes
90,47,Male,Jacket,Outerwear,83,Fall,3.6,1,1,1,15,Quarterly,2,2,0.07,No
91,25,Male,Hat,Accessories,48,Summer,2.9,1,1,1,29,Monthly,3,4,0.15,No
92,44,Male,Scarf,Accessories,99,Winter,4.6,1,1,1,18,Quarterly,2,1,0.1,Yes
93,61,Male,Jacket,Outerwear,87,Winter,4.4,1,1,1,13,Quarterly,2,2,0.07,No
94,37,Male,Sweater,Clothing,62,Fall,4.5,1,1,1,46,Weekly,5,3,0.12,Yes
95,58,Male,Skirt,Clothing,76,Spring,4.6,1,1,1,28,Weekly,5,3,0.12,Yes
96,37,Male,Sneakers,Footwear,100,Fall,3.8,1,1,1,48,Monthly,3,0,0.05,No
97,32,Male,Gloves,Accessories,73,Spring,3.6,1,1,1,43,Quarterly,2,3,0.12,Yes
98,21,Male,Shoes,Footwear,92,Winter,4.8,1,1,1,37,Annually,1,0,0.05,No
99,20,Male,Jeans,Clothing,67,Spring,2.6,1,1,1,20,Annually,1,3,0.12,Yes
100,26,Male,Hoodie,Clothing,40,Summer,3.7,1,1,1,33,Quarterly,2,4,0.15,No
101,62,Male,Sunglasses,Accessories,98,Fall,2.7,1,1,1,31,Bi-Weekly,4,2,0.07,No
102,27,Male,Coat,Outerwear,85,Spring,4.6,1,1,1,50,Bi-Weekly,4,2,0.07,No
103,51,Male,Socks,Clothing,67,Winter,4.8,1,1,1,35,Quarterly,2,1,0.1,Yes
104,54,Male,Boots,Footwear,89,Winter,4.0,1,1,1,22,Bi-Weekly,4,0,0.05,No
105,55,Male,Sunglasses,Accessories,24,Spring,4.4,1,1,1,1,Monthly,3,3,0.12,Yes
106,69,Male,Backpack,Accessories,96,Fall,3.6,1,1,1,4,Annually,1,2,0.07,No
107,64,Male,Jacket,Outerwear,35,Summer,3.7,1,1,1,31,Monthly,3,2,0.07,No
108,28,Male,Sneakers,Footwear,67,Winter,3.1,1,1,1,46,Bi-Weekly,4,0,0.05,No
109,70,Male,Socks,Clothing,79,Spring,3.4,1,1,1,32,Bi-Weekly,4,3,0.12,Yes
110,58,Male,T-shirt,Clothing,85,Spring,2.6,1,1,1,43,Bi-Weekly,4,3,0.12,Yes
111,56,Male,Backpack,Accessories,26,Summer,4.0,1,1,1,26,Bi-Weekly,4,4,0.15,No
112,26,Male,Belt,Accessories,75,Summer,5.0,1,1,1,9,Annually,1,4,0.15,No
113,37,Male,Gloves,Accessories,65,Spring,4.3,1,1,1,28,Bi-Weekly,4,3,0.12,Yes
114,44,Male,Hat,Accessories,54,Winter,3.1,1,1,1,20,Quarterly,2,1,0.1,Yes
115,70,Male,Coat,Outerwear,95,Summer,3.7,1,1,1,9,Weekly,5,2,0.07,No
116,53,Male,Skirt,Clothing,94,Spring,3.8,1,1,1,48,Quarterly,2,3,0.12,Yes
117,55,Male,Shoes,Footwear,86,Spring,3.4,1,1,1,12,Annually,1,0,0.05,No
118,50,Male,Sandals,Footwear,32,Summer,4.6,1,1,1,29,Bi-Weekly,4,0,0.05,No
119,50,Male,Sweater,Clothing,45,Fall,4.8,1,1,1,27,Bi-Weekly,4,3,0.12,Yes
120,38,Male,Coat,Outerwear,76,Fall,4.3,1,1,1,44,Annually,1,2,0.07,No
121,64,Male,Hat,Accessories,84,Summer,4.0,1,1,1,32,Annually,1,4,0.15,No
122,19,Male,Shorts,Clothing,72,Winter,4.2,1,1,1,11,Bi-Weekly,4,1,0.1,Yes
123,40,Male,Backpack,Accessories,40,Spring,4.8,1,1,1,44,Bi-Weekly,4,3,0.12,Yes
124,57,Male,Sweater,Clothing,89,Fall,3.1,1,1,1,46,Weekly,5,3,0.12,Yes
125,44,Male,Sweater,Clothing,86,Spring,3.1,1,1,1,50,Annually,1,3,0.12,Yes
126,49,Male,Shorts,Clothing,54,Winter,3.6,1,1,1,45,Quarterly,2,1,0.1,Yes
127,43,Male,Shorts,Clothing,36,Spring,3.9,1,1,1,48,Quarterly,2,3,0.12,Yes
128,24,Male,Sweater,Clothing,89,Winter,4.8,1,1,1,26,Weekly,5,1,0.1,Yes
129,20,Male,Scarf,Accessories,32,Spring,4.7,1,1,1,21,Bi-Weekly,4,3,0.12,Yes
130,24,Male,Dress,Clothing,67,Summer,4.2,1,1,1,49,Bi-Weekly,4,4,0.15,No
131,44,Male,Scarf,Accessories,39,Fall,3.7,1,1,1,13,Bi-Weekly,4,2,0.07,No
132,28,Male,Skirt,Clothing,29,Summer,3.9,1,1,1,46,Weekly,5,4,0.15,No
133,30,Male,Backpack,Accessories,58,Fall,4.7,1,1,1,42,Weekly,5,2,0.07,No
134,52,Male,Sweater,Clothing,65,Winter,2.5,1,1,1,25,Annually,1,1,0.1,Yes
135,43,Male,Hat,Accessories,94,Fall,4.9,1,1,1,25,Monthly,3,2,0.07,No
136,43,Male,Sandals,Footwear,81,Fall,4.1,1,1,1,12,Quarterly,2,0,0.05,No
137,39,Male,Blouse,Clothing,86,Winter,3.3,1,1,1,4,Quarterly,2,1,0.1,Yes
138,68,Male,Sneakers,Footwear,43,Spring,4.7,1,1,1,38,Weekly,5,0,0.05,No
139,68,Male,Skirt,Clothing,29,Winter,4.4,1,1,1,42,Weekly,5,1,0.1,Yes
140,49,Male,Coat,Outerwear,95,Fall,3.8,1,1,1,30,Annually,1,2,0.07,No
141,63,Male,Shirt,Clothing,28,Fall,3.9,1,1,1,50,Weekly,5,3,0.12,Yes
142,56,Male,Gloves,Accessories,46,Fall,4.9,1,1,1,45,Weekly,5,2,0.07,No
143,37,Male,Jacket,Outerwear,58,Fall,3.1,1,1,1,33,Bi-Weekly,4,2,0.07,No
144,30,Male,Coat,Outerwear,48,Fall,2.7,1,1,1,25,Quarterly,2,2,0.07,No
145,19,Male,Shoes,Footwear,43,Fall,3.2,1,1,1,25,Monthly,3,0,0.05,No
146,24,Male,Jewelry,Accessories,95,Fall,4.5,1,1,1,44,Quarterly,2,2,0.07,No
147,52,Male,Skirt,Clothing,30,Fall,4.0,1,1,1,21,Bi-Weekly,4,3,0.12,Yes
148,63,Male,Shoes,Footwear,64,Summer,3.5,1,1,1,31,Bi-Weekly,4,0,0.05,No
149,37,Male,Gloves,Accessories,90,Fall,2.6,1,1,1,47,Annually,1,2,0.07,No
150,38,Male,Pants,Clothing,76,Summer,3.2,1,1,1,14,Monthly,3,4,0.15,No
151,35,Male,Boots,Footwear,96,Fall,4.9,1,1,1,17,Quarterly,2,0,0.05,No
152,28,Male,Sunglasses,Accessories,47,Fall,4.5,1,1,1,3,Annually,1,2,0.07,No
153,30,Male,Shirt,Clothing,85,Summer,4.3,1,1,1,42,Annually,1,4,0.15,No
154,69,Male,Hoodie,Clothing,55,Winter,3.2,1,1,1,22,Annually,1,1,0.1,Yes
155,41,Male,Dress,Clothing,98,Fall,3.6,1,1,1,21,Quarterly,2,3,0.12,Yes
156,63,Male,Socks,Clothing,77,Spring,4.3,1,1,1,21,Quarterly,2,3,0.12,Yes
157,35,Male,Shorts,Clothing,26,Fall,4.0,1,1,1,40,Annually,1,3,0.12,Yes
158,36,Male,Hat,Accessories,68,Fall,3.0,1,1,1,1,Bi-Weekly,4,2,0.07,No
159,25,Male,Shirt,Clothing,73,Fall,4.1,1,1,1,50,Monthly,3,3,0.12,Yes
160,58,Male,Gloves,Accessories,27,Fall,3.8,1,1,1,39,Quarterly,2,2,0.07,No
161,27,Male,Gloves,Accessories,23,Summer,4.6,1,1,1,34,Monthly,3,4,0.15,No
162,65,Male,Backpack,Accessories,49,Fall,3.0,1,1,1,29,Bi-Weekly,4,2,0.07,No
163,54,Male,Sunglasses,Accessories,74,Summer,3.0,1,1,1,31,Bi-Weekly,4,4,0.15,No
164,54,Male,Skirt,Clothing,67,Summer,3.4,1,1,1,8,Weekly,5,4,0.15,No
165,59,Male,Handbag,Accessories,65,Spring,2.6,1,1,1,5,Bi-Weekly,4,3,0.12,Yes
166,42,Male,Handbag,Accessories,60,Winter,2.8,1,1,1,7,Monthly,3,1,0.1,Yes
167,46,Male,Sneakers,Footwear,31,Fall,4.0,1,1,1,30,Monthly,3,0,0.05,No
168,33,Male,Gloves,Accessories,27,Fall,4.0,1,1,1,14,Quarterly,2,2,0.07,No
169,34,Male,Shoes,Footwear,80,Summer,3.0,1,1,1,5,Bi-Weekly,4,0,0.05,No
170,27,Male,Jacket,Outerwear,30,Summer,3.3,1,1,1,3,Quarterly,2,2,0.07,No
171,52,Male,Shirt,Clothing,25,Fall,2.6,1,1,1,46,Bi-Weekly,4,3,0.12,Yes
172,29,Male,Shorts,Clothing,35,Summer,3.6,1,1,1,4,Weekly,5,4,0.15,No
173,54,Male,Jewelry,Accessories,67,Summer,3.9,1,1,1,42,Bi-Weekly,4,4,0.15,No
174,25,Male,Hat,Accessories,46,Fall,3.4,1,1,1,30,Annually,1,2,0.07,No
175,41,Male,Shoes,Footwear,35,Winter,3.5,1,1,1,37,Annually,1,0,0.05,No
176,53,Male,Coat,Outerwear,86,Fall,2.8,1,1,1,2,Annually,1,2,0.07,No
177,53,Male,Backpack,Accessories,81,Spring,2.7,1,1,1,30,Quarterly,2,3,0.12,Yes
178,21,Male,Hoodie,Clothing,42,Fall,3.7,1,1,1,47,Monthly,3,3,0.12,Yes
179,61,Male,Skirt,Clothing,43,Fall,4.3,1,1,1,21,Quarterly,2,3,0.12,Yes
180,64,Male,Boots,Footwear,31,Fall,4.9,1,1,1,9,Bi-Weekly,4,0,0.05,No
181,51,Male,Sandals,Footwear,81,Fall,3.3,1,1,1,12,Bi-Weekly,4,0,0.05,No
182,32,Male,Pants,Clothing,61,Summer,4.7,1,1,1,4,Weekly,5,4,0.15,No
183,38,Male,Gloves,Accessories,96,Summer,2.8,1,1,1,10,Annually,1,4,0.15,No
184,58,Male,Skirt,Clothing,29,Spring,3.6,1,1,1,26,Weekly,5,3,0.12,Yes
185,32,Male,Sneakers,Footwear,33,Spring,3.0,1,1,1,40,Bi-Weekly,4,0,0.05,No
186,46,Male,T-shirt,Clothing,32,Summer,4.5,1,1,1,34,Bi-Weekly,4,4,0.15,No
187,39,Male,Backpack,Accessories,56,Summer,2.9,1,1,1,31,Annually,1,4,0.15,No
188,19,Male,Shoes,Footwear,94,Spring,3.3,1,1,1,1,Bi-Weekly,4,0,0.05,No
189,50,Male,Hoodie,Clothing,53,Spring,3.1,1,1,1,5,Bi-Weekly,4,3,0.12,Yes
190,36,Male,Blouse,Clothing,82,Fall,4.4,1,1,1,4,Weekly,5,3,0.12,Yes
191,65,Male,Coat,Outerwear,70,Fall,3.0,1,1,1,48,Quarterly,2,2,0.07,No
192,64,Male,Hat,Accessories,76,Fall,3.9,1,1,1,29,Quarterly,2,2,0.07,No
193,46,Male,Shoes,Footwear,29,Summer,2.9,1,1,1,12,Bi-Weekly,4,0,0.05,No
194,36,Male,Belt,Accessories,100,Fall,3.0,1,1,1,29,Annually,1,2,0.07,No
195,51,Male,Backpack,Accessories,94,Spring,3.1,1,1,1,15,Quarterly,2,3,0.12,Yes
196,51,Male,Jacket,Outerwear,25,Fall,4.3,1,1,1,34,Monthly,3,2,0.07,No
197,38,Male,Boots,Footwear,88,Summer,3.9,1,1,1,41,Bi-Weekly,4,0,0.05,No
198,59,Male,Scarf,Accessories,78,Fall,3.2,1,1,1,41,Monthly,3,2,0.07,No
199,57,Male,Jewelry,Accessories,45,Winter,4.8,1,1,1,39,Bi-Weekly,4,1,0.1,Yes
200,54,Male,Hat,Accessories,73,Summer,3.8,1,1,1,32,Weekly,5,4,0.15,No
201,25,Male,Dress,Clothing,61,Summer,3.3,1,1,1,29,Monthly,3,4,0.15,No
202,69,Male,Blouse,Clothing,22,Fall,4.3,1,1,1,15,Annually,1,3,0.12,Yes
203,57,Male,Hat,Accessories,38,Spring,2.7,1,1,1,33,Annually,1,3,0.12,Yes
204,70,Male,Scarf,Accessories,38,Fall,3.2,1,1,1,18,Weekly,5,2,0.07,No
205,24,Male,Sneakers,Footwear,100,Fall,4.0,1,1,1,35,Bi-Weekly,4,0,0.05,No
206,67,Male,Shirt,Clothing,64,Winter,3.0,1,1,1,25,Weekly,5,1,0.1,Yes
207,24,Male,T-shirt,Clothing,55,Summer,4.2,1,1,1,6,Bi-Weekly,4,4,0.15,No
208,62,Male,Gloves,Accessories,91,Summer,2.9,1,1,1,17,Bi-Weekly,4,4,0.15,No
209,57,Male,Skirt,Clothing,38,Spring,4.1,1,1,1,17,Monthly,3,3,0.12,Yes
210,55,Male,Sandals,Footwear,97,Winter,3.2,1,1,1,44,Quarterly,2,0,0.05,No
211,45,Male,Jacket,Outerwear,22,Fall,3.0,1,1,1,6,Bi-Weekly,4,2,0.07,No
212,69,Male,Skirt,Clothing,92,Fall,4.2,1,1,1,45,Bi-Weekly,4,3,0.12,Yes
213,67,Male,Handbag,Accessories,84,Fall,4.2,1,1,1,7,Annually,1,2,0.07,No
214,30,Male,Handbag,Accessories,93,Fall,4.4,1,1,1,11,Quarterly,2,2,0.07,No
215,24,Male,Jacket,Outerwear,50,Summer,4.2,1,1,1,41,Quarterly,2,2,0.07,No
216,62,Male,Scarf,Accessories,64,Spring,2.8,1,1,1,24,Bi-Weekly,4,3,0.12,Yes
217,43,Male,Shorts,Clothing,61,Spring,3.7,1,1,1,21,Weekly,5,3,0.12,Yes
218,35,Male,Sunglasses,Accessories,48,Winter,3.5,1,1,1,24,Annually,1,1,0.1,Yes
219,28,Male,T-shirt,Clothing,45,Spring,2.9,1,1,1,8,Quarterly,2,3,0.12,Yes
220,32,Male,Belt,Accessories,88,Spring,3.0,1,1,1,12,Bi-Weekly,4,3,0.12,Yes
221,39,Male,Sneakers,Footwear,57,Spring,3.7,1,1,1,48,Bi-Weekly,4,0,0.05,No
222,28,Male,Hat,Accessories,68,Summer,4.4,1,1,1,6,Quarterly,2,4,0.15,No
223,47,Male,Gloves,Accessories,94,Spring,4.5,1,1,1,14,Bi-Weekly,4,3,0.12,Yes
224,20,Male,Pants,Clothing,41,Spring,4.8,1,1,1,34,Annually,1,3,0.12,Yes
225,63,Male,Socks,Clothing,83,Summer,2.9,1,1,1,12,Quarterly,2,4,0.15,No
226,25,Male,Jacket,Outerwear,22,Spring,3.2,1,1,1,11,Annually,1,2,0.07,No
227,29,Male,Shoes,Footwear,74,Spring,3.3,1,1,1,5,Monthly,3,0,0.05,No
228,50,Male,Jeans,Clothing,90,Winter,4.2,1,1,1,25,Bi-Weekly,4,1,0.1,Yes
229,18,Male,Socks,Clothing,79,Spring,2.9,1,1,1,11,Annually,1,3,0.12,Yes
230,70,Male,Sandals,Footwear,28,Spring,4.6,1,1,1,27,Quarterly,2,0,0.05,No
231,66,Male,Scarf,Accessories,88,Fall,4.1,1,1,1,43,Annually,1,2,0.07,No
232,28,Male,Blouse,Clothing,26,Spring,3.1,1,1,1,18,Quarterly,2,3,0.12,Yes
233,54,Male,Jewelry,Accessories,27,Winter,4.2,1,1,1,32,Bi-Weekly,4,1,0.1,Yes
234,19,Male,Sweater,Clothing,83,Fall,4.5,1,1,1,27,Quarterly,2,3,0.12,Yes
235,20,Male,Gloves,Accessories,39,Summer,3.7,1,1,1,24,Weekly,5,4,0.15,No
236,43,Male,Sunglasses,Accessories,89,Winter,3.7,1,1,1,31,Quarterly,2,1,0.1,Yes
237,38,Male,Coat,Outerwear,68,Winter,3.4,1,1,1,39,Bi-Weekly,4,2,0.07,No
238,50,Male,Dress,Clothing,90,Summer,3.0,1,1,1,36,Bi-Weekly,4,4,0.15,No
239,64,Male,Skirt,Clothing,34,Fall,4.2,1,1,1,5,Annually,1,3,0.12,Yes
240,49,Male,Pants,Clothing,51,Summer,2.9,1,1,1,47,Bi-Weekly,4,4,0.15,No
241,47,Male,Sweater,Clothing,45,Winter,3.5,1,1,1,29,Bi-Weekly,4,1,0.1,Yes
242,36,Male,Hoodie,Clothing,88,Winter,4.1,1,1,1,43,Bi-Weekly,4,1,0.1,Yes
243,55,Male,Coat,Outerwear,85,Summer,4.3,1,1,1,40,Quarterly,2,2,0.07,No
244,25,Male,Jewelry,Accessories,100,Winter,2.8,1,1,1,4,Monthly,3,1,0.1,Yes
245,53,Male,Belt,Accessories,42,Spring,4.9,1,1,1,39,Weekly,5,3,0.12,Yes
246,49,Male,Sandals,Footwear,53,Summer,3.3,1,1,1,45,Bi-Weekly,4,0,0.05,No
247,35,Male,Sunglasses,Accessories,86,Spring,3.2,1,1,1,20,Bi-Weekly,4,3,0.12,Yes
248,29,Male,Sweater,Clothing,66,Spring,4.4,1,1,1,14,Weekly,5,3,0.12,Yes
249,47,Male,Belt,Accessories,100,Winter,4.8,1,1,1,33,Weekly,5,1,0.1,Yes
250,53,Male,Handbag,Accessories,47,Fall,4.2,1,1,1,18,Annually,1,2,0.07,No
251,33,Male,Skirt,Clothing,25,Fall,4.0,1,1,1,9,Weekly,5,3,0.12,Yes
252,21,Male,Handbag,Accessories,51,Winter,2.5,1,1,1,34,Annually,1,1,0.1,Yes
253,32,Male,Shorts,Clothing,41,Summer,3.9,1,1,1,33,Bi-Weekly,4,4,0.15,No
254,52,Male,Boots,Footwear,73,Winter,4.9,1,1,1,15,Bi-Weekly,4,0,0.05,No
255,67,Male,Sunglasses,Accessories,42,Winter,3.5,1,1,1,4,Bi-Weekly,4,1,0.1,Yes
256,43,Male,Scarf,Accessories,20,Spring,4.2,1,1,1,25,Annually,1,3,0.12,Yes
257,58,Male,Jewelry,Accessories,30,Spring,4.7,1,1,1,20,Quarterly,2,3,0.12,Yes
258,20,Male,Handbag,Accessories,53,Summer,4.5,1,1,1,5,Quarterly,2,4,0.15,No
259,61,Male,Gloves,Accessories,74,Spring,2.8,1,1,1,16,Quarterly,2,3,0.12,Yes
260,32,Male,Jeans,Clothing,57,Fall,2.9,1,1,1,13,Annually,1,3,0.12,Yes
261,38,Male,Hat,Accessories,57,Winter,3.2,1,1,1,11,Quarterly,2,1,0.1,Yes
262,21,Male,Jeans,Clothing,77,Winter,4.9,1,1,1,21,Annually,1,1,0.1,Yes
263,37,Male,Pants,Clothing,40,Summer,3.7,1,1,1,6,Annually,1,4,0.15,No
