Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Frequency Value
37,35,Male,T-shirt,Clothing,69,Winter,4.6,1,1,1,44,Bi-Weekly,4
38,35,Male,Jeans,Clothing,45,Summer,2.8,1,1,1,10,Weekly,5
39,29,Male,Dress,Clothing,37,Winter,3.7,1,1,1,44,Quarterly,2
40,70,Male,Pants,Clothing,60,Summer,4.2,1,1,1,18,Monthly,3
41,69,Male,Handbag,Accessories,76,Winter,4.6,1,1,1,31,Quarterly,2
42,67,Male,Scarf,Accessories,39,Spring,4.5,1,1,1,40,Annually,1
43,20,Male,Coat,Outerwear,100,Spring,4.1,1,1,1,15,Annually,1
44,25,Male,Scarf,Accessories,69,Fall,3.7,1,1,1,19,Bi-Weekly,4
45,39,Male,Hat,Accessories,53,Summer,4.6,1,1,1,45,Weekly,5
46,50,Male,Socks,Clothing,21,Fall,2.9,1,1,1,25,Annually,1
47,57,Male,Shirt,Clothing,43,Summer,2.9,1,1,1,45,Quarterly,2
48,55,Male,Jewelry,Accessories,54,Winter,4.5,1,1,1,36,Weekly,5
49,42,Male,Shirt,Clothing,55,Summer,2.7,1,1,1,38,Monthly,3
50,68,Male,Hoodie,Clothing,30,Spring,4.6,1,1,1,34,Bi-Weekly,4
51,49,Male,Blouse,Clothing,28,Spring,3.7,1,1,1,39,Bi-Weekly,4
52,59,Male,Skirt,Clothing,59,Winter,4.7,1,1,1,7,Quarterly,2
53,42,Male,T-shirt,Clothing,20,Summer,2.6,1,1,1,26,Weekly,5
54,29,Male,Skirt,Clothing,24,Winter,3.9,1,1,1,35,Weekly,5
55,47,Male,Coat,Outerwear,94,Summer,4.2,1,1,1,35,Bi-Weekly,4
56,40,Male,Jacket,Outerwear,28,Winter,3,1,1,1,49,Annually,1
57,41,Male,Backpack,Accessories,73,Summer,4.7,1,1,1,46,Weekly,5
58,21,Male,Coat,Outerwear,64,Summer,4.4,1,1,1,17,Bi-Weekly,4
59,69,Male,Hoodie,Clothing,54,Summer,4.2,1,1,1,29,Monthly,3
60,63,Male,Belt,Accessories,79,Spring,4.6,1,1,1,4,Weekly,5
61,50,Male,Sweater,Clothing,37,Summer,4,1,1,1,17,Weekly,5
62,55,Male,Scarf,Accessories,68,Winter,4.7,1,1,1,21,Quarterly,2
63,30,Male,Sneakers,Footwear,21,Spring,3.8,1,1,1,31,Bi-Weekly,4
64,33,Male,Sunglasses,Accessories,79,Winter,2.7,1,1,1,43,Weekly,5
65,65,Male,Boots,Footwear,83,Fall,4.8,1,1,1,18,Bi-Weekly,4
66,65,Male,Backpack,Accessories,36,Spring,4.8,1,1,1,44,Quarterly,2
67,31,Male,Blouse,Clothing,94,Winter,4.7,1,1,1,3,Quarterly,2
68,45,Male,Coat,Outerwear,33,Winter,4.4,1,1,1,49,Monthly,3
69,57,Male,Handbag,Accessories,46,Summer,3.9,1,1,1,21,Quarterly,2
70,48,Male,Belt,Accessories,70,Summer,4.4,1,1,1,5,Weekly,5
71,22,Male,Belt,Accessories,29,Fall,4.2,1,1,1,32,Quarterly,2
72,36,Male,Dress,Clothing,48,Summer,2.9,1,1,1,34,Annually,1
73,18,Male,Dress,Clothing,26,Winter,2.9,1,1,1,21,Quarterly,2
74,48,Male,Pants,Clothing,85,Spring,2.7,1,1,1,43,Bi-Weekly,4
75,49,Male,Gloves,Accessories,58,Spring,4.5,1,1,1,3,Monthly,3
76,64,Male,Scarf,Accessories,85,Summer,2.7,1,1,1,21,Annually,1
77,50,Male,Hat,Accessories,43,Summer,4.2,1,1,1,32,Monthly,3
78,22,Male,Dress,Clothing,53,Summer,3.3,1,1,1,36,Bi-Weekly,4
79,50,Male,Skirt,Clothing,91,Spring,4.7,1,1,1,50,Bi-Weekly,4
80,38,Male,Jacket,Outerwear,96,Winter,2.6,1,1,1,43,Quarterly,2
81,19,Male,Sandals,Footwear,72,Summer,3.3,1,1,1,24,Quarterly,2
82,67,Male,Shoes,Footwear,96,Summer,2.6,1,1,1,36,Quarterly,2
83,19,Male,Pants,Clothing,28,Spring,4,1,1,1,21,Quarterly,2
84,36,Male,Dress,Clothing,40,Summer,4.1,1,1,1,34,Weekly,5
85,52,Male,Coat,Outerwear,32,Spring,4.4,1,1,1,42,Quarterly,2
86,53,Male,Sunglasses,Accessories,95,Winter,4.5,1,1,1,2,Bi-Weekly,4
87,24,Male,Hoodie,Clothing,41,Spring,3.7,1,1,1,47,Bi-Weekly,4
88,52,Male,Shoes,Footwear,53,Fall,3.7,1,1,1,44,Bi-Weekly,4
89,33,Male,T-shirt,Clothing,47,Fall,3.5,1,1,1,35,Monthly,3
90,47,Male,Jacket,Outerwear,83,Fall,3.6,1,1,1,15,Quarterly,2
91,25,Male,Hat,Accessories,48,Summer,2.9,1,1,1,29,Monthly,3
92,44,Male,Scarf,Accessories,99,Winter,4.6,1,1,1,18,Quarterly,2
93,61,Male,Jacket,Outerwear,87,Winter,4.4,1,1,1,13,Quarterly,2
94,37,Male,Sweater,Clothing,62,Fall,4.5,1,1,1,46,Weekly,5
95,58,Male,Skirt,Clothing,76,Spring,4.6,1,1,1,28,Weekly,5
96,37,Male,Sneakers,Footwear,100,Fall,3.8,1,1,1,48,Monthly,3
97,32,Male,Gloves,Accessories,73,Spring,3.6,1,1,1,43,Quarterly,2
98,21,Male,Shoes,Footwear,92,Winter,4.8,1,1,1,37,Annually,1
99,20,Male,Jeans,Clothing,67,Spring,2.6,1,1,1,20,Annually,1
100,26,Male,Hoodie,Clothing,40,Summer,3.7,1,1,1,33,Quarterly,2
101,62,Male,Sunglasses,Accessories,98,Fall,2.7,1,1,1,31,Bi-Weekly,4
102,27,Male,Coat,Outerwear,85,Spring,4.6,1,1,1,50,Bi-Weekly,4
103,51,Male,Socks,Clothing,67,Winter,4.8,1,1,1,35,Quarterly,2
104,54,Male,Boots,Footwear,89,Winter,4,1,1,1,22,Bi-Weekly,4
105,55,Male,Sunglasses,Accessories,24,Spring,4.4,1,1,1,1,Monthly,3
106,69,Male,Backpack,Accessories,96,Fall,3.6,1,1,1,4,Annually,1
107,64,Male,Jacket,Outerwear,35,Summer,3.7,1,1,1,31,Monthly,3
108,28,Male,Sneakers,Footwear,67,Winter,3.1,1,1,1,46,Bi-Weekly,4
109,70,Male,Socks,Clothing,79,Spring,3.4,1,1,1,32,Bi-Weekly,4
110,58,Male,T-shirt,Clothing,85,Spring,2.6,1,1,1,43,Bi-Weekly,4
111,56,Male,Backpack,Accessories,26,Summer,4,1,1,1,26,Bi-Weekly,4
112,26,Male,Belt,Accessories,75,Summer,5,1,1,1,9,Annually,1
113,37,Male,Gloves,Accessories,65,Spring,4.3,1,1,1,28,Bi-Weekly,4
114,44,Male,Hat,Accessories,54,Winter,3.1,1,1,1,20,Quarterly,2
115,70,Male,Coat,Outerwear,95,Summer,3.7,1,1,1,9,Weekly,5
116,53,Male,Skirt,Clothing,94,Spring,3.8,1,1,1,48,Quarterly,2
117,55,Male,Shoes,Footwear,86,Spring,3.4,1,1,1,12,Annually,1
118,50,Male,Sandals,Footwear,32,Summer,4.6,1,1,1,29,Bi-Weekly,4
119,50,Male,Sweater,Clothing,45,Fall,4.8,1,1,1,27,Bi-Weekly,4
120,38,Male,Coat,Outerwear,76,Fall,4.3,1,1,1,44,Annually,1
121,64,Male,Hat,Accessories,84,Summer,4,1,1,1,32,Annually,1
122,19,Male,Shorts,Clothing,72,Winter,4.2,1,1,1,11,Bi-Weekly,4
123,40,Male,Backpack,Accessories,40,Spring,4.8,1,1,1,44,Bi-Weekly,4
124,57,Male,Sweater,Clothing,89,Fall,3.1,1,1,1,46,Weekly,5
125,44,Male,Sweater,Clothing,86,Spring,3.1,1,1,1,50,Annually,1
126,49,Male,Shorts,Clothing,54,Winter,3.6,1,1,1,45,Quarterly,2
127,43,Male,Shorts,Clothing,36,Spring,3.9,1,1,1,48,Quarterly,2
128,24,Male,Sweater,Clothing,89,Winter,4.8,1,1,1,26,Weekly,5
129,20,Male,Scarf,Accessories,32,Spring,4.7,1,1,1,21,Bi-Weekly,4
130,24,Male,Dress,Clothing,67,Summer,4.2,1,1,1,49,Bi-Weekly,4
131,44,Male,Scarf,Accessories,39,Fall,3.7,1,1,1,13,Bi-Weekly,4
132,28,Male,Skirt,Clothing,29,Summer,3.9,1,1,1,46,Weekly,5
133,30,Male,Backpack,Accessories,58,Fall,4.7,1,1,1,42,Weekly,5
134,52,Male,Sweater,Clothing,65,Winter,2.5,1,1,1,25,Annually,1
135,43,Male,Hat,Accessories,94,Fall,4.9,1,1,1,25,Monthly,3
136,43,Male,Sandals,Footwear,81,Fall,4.1,1,1,1,12,Quarterly,2
137,39,Male,Blouse,Clothing,86,Winter,3.3,1,1,1,4,Quarterly,2
138,68,Male,Sneakers,Footwear,43,Spring,4.7,1,1,1,38,Weekly,5
139,68,Male,Skirt,Clothing,29,Winter,4.4,1,1,1,42,Weekly,5
140,49,Male,Coat,Outerwear,95,Fall,3.8,1,1,1,30,Annually,1
141,63,Male,Shirt,Clothing,28,Fall,3.9,1,1,1,50,Weekly,5
142,56,Male,Gloves,Accessories,46,Fall,4.9,1,1,1,45,Weekly,5
143,37,Male,Jacket,Outerwear,58,Fall,3.1,1,1,1,33,Bi-Weekly,4
144,30,Male,Coat,Outerwear,48,Fall,2.7,1,1,1,25,Quarterly,2
145,19,Male,Shoes,Footwear,43,Fall,3.2,1,1,1,25,Monthly,3
146,24,Male,Jewelry,Accessories,95,Fall,4.5,1,1,1,44,Quarterly,2
147,52,Male,Skirt,Clothing,30,Fall,4,1,1,1,21,Bi-Weekly,4
148,63,Male,Shoes,Footwear,64,Summer,3.5,1,1,1,31,Bi-Weekly,4
149,37,Male,Gloves,Accessories,90,Fall,2.6,1,1,1,47,Annually,1
150,38,Male,Pants,Clothing,76,Summer,3.2,1,1,1,14,Monthly,3
151,35,Male,Boots,Footwear,96,Fall,4.9,1,1,1,17,Quarterly,2
152,28,Male,Sunglasses,Accessories,47,Fall,4.5,1,1,1,3,Annually,1
153,30,Male,Shirt,Clothing,85,Summer,4.3,1,1,1,42,Annually,1
154,69,Male,Hoodie,Clothing,55,Winter,3.2,1,1,1,22,Annually,1
155,41,Male,Dress,Clothing,98,Fall,3.6,1,1,1,21,Quarterly,2
156,63,Male,Socks,Clothing,77,Spring,4.3,1,1,1,21,Quarterly,2
157,35,Male,Shorts,Clothing,26,Fall,4,1,1,1,40,Annually,1
158,36,Male,Hat,Accessories,68,Fall,3,1,1,1,1,Bi-Weekly,4
159,25,Male,Shirt,Clothing,73,Fall,4.1,1,1,1,50,Monthly,3
160,58,Male,Gloves,Accessories,27,Fall,3.8,1,1,1,39,Quarterly,2
161,27,Male,Gloves,Accessories,23,Summer,4.6,1,1,1,34,Monthly,3
162,65,Male,Backpack,Accessories,49,Fall,3,1,1,1,29,Bi-Weekly,4
163,54,Male,Sunglasses,Accessories,74,Summer,3,1,1,1,31,Bi-Weekly,4
164,54,Male,Skirt,Clothing,67,Summer,3.4,1,1,1,8,Weekly,5
165,59,Male,Handbag,Accessories,65,Spring,2.6,1,1,1,5,Bi-Weekly,4
166,42,Male,Handbag,Accessories,60,Winter,2.8,1,1,1,7,Monthly,3
167,46,Male,Sneakers,Footwear,31,Fall,4,1,1,1,30,Monthly,3
168,33,Male,Gloves,Accessories,27,Fall,4,1,1,1,14,Quarterly,2
169,34,Male,Shoes,Footwear,80,Summer,3,1,1,1,5,Bi-Weekly,4
170,27,Male,Jacket,Outerwear,30,Summer,3.3,1,1,1,3,Quarterly,2
171,52,Male,Shirt,Clothing,25,Fall,2.6,1,1,1,46,Bi-Weekly,4
172,29,Male,Shorts,Clothing,35,Summer,3.6,1,1,1,4,Weekly,5
173,54,Male,Jewelry,Accessories,67,Summer,3.9,1,1,1,42,Bi-Weekly,4
174,25,Male,Hat,Accessories,46,Fall,3.4,1,1,1,30,Annually,1
175,41,Male,Shoes,Footwear,35,Winter,3.5,1,1,1,37,Annually,1
176,53,Male,Coat,Outerwear,86,Fall,2.8,1,1,1,2,Annually,1
177,53,Male,Backpack,Accessories,81,Spring,2.7,1,1,1,30,Quarterly,2
178,21,Male,Hoodie,Clothing,42,Fall,3.7,1,1,1,47,Monthly,3
179,61,Male,Skirt,Clothing,43,Fall,4.3,1,1,1,21,Quarterly,2
180,64,Male,Boots,Footwear,31,Fall,4.9,1,1,1,9,Bi-Weekly,4
181,51,Male,Sandals,Footwear,81,Fall,3.3,1,1,1,12,Bi-Weekly,4
182,32,Male,Pants,Clothing,61,Summer,4.7,1,1,1,4,Weekly,5
183,38,Male,Gloves,Accessories,96,Summer,2.8,1,1,1,10,Annually,1
184,58,Male,Skirt,Clothing,29,Spring,3.6,1,1,1,26,Weekly,5
185,32,Male,Sneakers,Footwear,33,Spring,3,1,1,1,40,Bi-Weekly,4
186,46,Male,T-shirt,Clothing,32,Summer,4.5,1,1,1,34,Bi-Weekly,4
187,39,Male,Backpack,Accessories,56,Summer,2.9,1,1,1,31,Annually,1
188,19,Male,Shoes,Footwear,94,Spring,3.3,1,1,1,1,Bi-Weekly,4
189,50,Male,Hoodie,Clothing,53,Spring,3.1,1,1,1,5,Bi-Weekly,4
190,36,Male,Blouse,Clothing,82,Fall,4.4,1,1,1,4,Weekly,5
191,65,Male,Coat,Outerwear,70,Fall,3,1,1,1,48,Quarterly,2
192,64,Male,Hat,Accessories,76,Fall,3.9,1,1,1,29,Quarterly,2
193,46,Male,Shoes,Footwear,29,Summer,2.9,1,1,1,12,Bi-Weekly,4
194,36,Male,Belt,Accessories,100,Fall,3,1,1,1,29,Annually,1
195,51,Male,Backpack,Accessories,94,Spring,3.1,1,1,1,15,Quarterly,2
196,51,Male,Jacket,Outerwear,25,Fall,4.3,1,1,1,34,Monthly,3
197,38,Male,Boots,Footwear,88,Summer,3.9,1,1,1,41,Bi-Weekly,4
198,59,Male,Scarf,Accessories,78,Fall,3.2,1,1,1,41,Monthly,3
199,57,Male,Jewelry,Accessories,45,Winter,4.8,1,1,1,39,Bi-Weekly,4
200,54,Male,Hat,Accessories,73,Summer,3.8,1,1,1,32,Weekly,5
201,25,Male,Dress,Clothing,61,Summer,3.3,1,1,1,29,Monthly,3
202,69,Male,Blouse,Clothing,22,Fall,4.3,1,1,1,15,Annually,1
203,57,Male,Hat,Accessories,38,Spring,2.7,1,1,1,33,Annually,1
204,70,Male,Scarf,Accessories,38,Fall,3.2,1,1,1,18,Weekly,5
205,24,Male,Sneakers,Footwear,100,Fall,4,1,1,1,35,Bi-Weekly,4
206,67,Male,Shirt,Clothing,64,Winter,3,1,1,1,25,Weekly,5
207,24,Male,T-shirt,Clothing,55,Summer,4.2,1,1,1,6,Bi-Weekly,4
208,62,Male,Gloves,Accessories,91,Summer,2.9,1,1,1,17,Bi-Weekly,4
209,57,Male,Skirt,Clothing,38,Spring,4.1,1,1,1,17,Monthly,3
210,55,Male,Sandals,Footwear,97,Winter,3.2,1,1,1,44,Quarterly,2
211,45,Male,Jacket,Outerwear,22,Fall,3,1,1,1,6,Bi-Weekly,4
212,69,Male,Skirt,Clothing,92,Fall,4.2,1,1,1,45,Bi-Weekly,4
213,67,Male,Handbag,Accessories,84,Fall,4.2,1,1,1,7,Annually,1
214,30,Male,Handbag,Accessories,93,Fall,4.4,1,1,1,11,Quarterly,2
215,24,Male,Jacket,Outerwear,50,Summer,4.2,1,1,1,41,Quarterly,2
216,62,Male,Scarf,Accessories,64,Spring,2.8,1,1,1,24,Bi-Weekly,4
217,43,Male,Shorts,Clothing,61,Spring,3.7,1,1,1,21,Weekly,5
218,35,Male,Sunglasses,Accessories,48,Winter,3.5,1,1,1,24,Annually,1
219,28,Male,T-shirt,Clothing,45,Spring,2.9,1,1,1,8,Quarterly,2
220,32,Male,Belt,Accessories,88,Spring,3,1,1,1,12,Bi-Weekly,4
221,39,Male,Sneakers,Footwear,57,Spring,3.7,1,1,1,48,Bi-Weekly,4
222,28,Male,Hat,Accessories,68,Summer,4.4,1,1,1,6,Quarterly,2
223,47,Male,Gloves,Accessories,94,Spring,4.5,1,1,1,14,Bi-Weekly,4
224,20,Male,Pants,Clothing,41,Spring,4.8,1,1,1,34,Annually,1
225,63,Male,Socks,Clothing,83,Summer,2.9,1,1,1,12,Quarterly,2
226,25,Male,Jacket,Outerwear,22,Spring,3.2,1,1,1,11,Annually,1
227,29,Male,Shoes,Footwear,74,Spring,3.3,1,1,1,5,Monthly,3
228,50,Male,Jeans,Clothing,90,Winter,4.2,1,1,1,25,Bi-Weekly,4
229,18,Male,Socks,Clothing,79,Spring,2.9,1,1,1,11,Annually,1
230,70,Male,Sandals,Footwear,28,Spring,4.6,1,1,1,27,Quarterly,2
231,66,Male,Scarf,Accessories,88,Fall,4.1,1,1,1,43,Annually,1
232,28,Male,Blouse,Clothing,26,Spring,3.1,1,1,1,18,Quarterly,2
233,54,Male,Jewelry,Accessories,27,Winter,4.2,1,1,1,32,Bi-Weekly,4
234,19,Male,Sweater,Clothing,83,Fall,4.5,1,1,1,27,Quarterly,2
235,20,Male,Gloves,Accessories,39,Summer,3.7,1,1,1,24,Weekly,5
236,43,Male,Sunglasses,Accessories,89,Winter,3.7,1,1,1,31,Quarterly,2
237,38,Male,Coat,Outerwear,68,Winter,3.4,1,1,1,39,Bi-Weekly,4
238,50,Male,Dress,Clothing,90,Summer,3,1,1,1,36,Bi-Weekly,4
239,64,Male,Skirt,Clothing,34,Fall,4.2,1,1,1,5,Annually,1
240,49,Male,Pants,Clothing,51,Summer,2.9,1,1,1,47,Bi-Weekly,4
241,47,Male,Sweater,Clothing,45,Winter,3.5,1,1,1,29,Bi-Weekly,4
242,36,Male,Hoodie,Clothing,88,Winter,4.1,1,1,1,43,Bi-Weekly,4
243,55,Male,Coat,Outerwear,85,Summer,4.3,1,1,1,40,Quarterly,2
244,25,Male,Jewelry,Accessories,100,Winter,2.8,1,1,1,4,Monthly,3
245,53,Male,Belt,Accessories,42,Spring,4.9,1,1,1,39,Weekly,5
246,49,Male,Sandals,Footwear,53,Summer,3.3,1,1,1,45,Bi-Weekly,4
247,35,Male,Sunglasses,Accessories,86,Spring,3.2,1,1,1,20,Bi-Weekly,4
248,29,Male,Sweater,Clothing,66,Spring,4.4,1,1,1,14,Weekly,5
249,47,Male,Belt,Accessories,100,Winter,4.8,1,1,1,33,Weekly,5
250,53,Male,Handbag,Accessories,47,Fall,4.2,1,1,1,18,Annually,1
251,33,Male,Skirt,Clothing,25,Fall,4,1,1,1,9,Weekly,5
252,21,Male,Handbag,Accessories,51,Winter,2.5,1,1,1,34,Annually,1
253,32,Male,Shorts,Clothing,41,Summer,3.9,1,1,1,33,Bi-Weekly,4
254,52,Male,Boots,Footwear,73,Winter,4.9,1,1,1,15,Bi-Weekly,4
255,67,Male,Sunglasses,Accessories,42,Winter,3.5,1,1,1,4,Bi-Weekly,4
256,43,Male,Scarf,Accessories,20,Spring,4.2,1,1,1,25,Annually,1
257,58,Male,Jewelry,Accessories,30,Spring,4.7,1,1,1,20,Quarterly,2
258,20,Male,Handbag,Accessories,53,Summer,4.5,1,1,1,5,Quarterly,2
259,61,Male,Gloves,Accessories,74,Spring,2.8,1,1,1,16,Quarterly,2
260,32,Male,Jeans,Clothing,57,Fall,2.9,1,1,1,13,Annually,1
261,38,Male,Hat,Accessories,57,Winter,3.2,1,1,1,11,Quarterly,2
262,21,Male,Jeans,Clothing,77,Winter,4.9,1,1,1,21,Annually,1
263,37,Male,Pants,Clothing,40,Summer,3.7,1,1,1,6,Annually,1
264,27,Male,Shorts,Clothing,46,Summer,4.3,1,1,1,29,Monthly,3
265,36,Male,Pants,Clothing,78,Fall,3.9,1,1,1,15,Annually,1
266,32,Male,Backpack,Accessories,59,Spring,3.2,1,1,1,17,Bi-Weekly,4
267,51,Male,Jewelry,Accessories,75,Summer,3.1,1,1,1,32,Weekly,5
268,64,Male,Sweater,Clothing,54,Spring,3.9,1,1,1,42,Annually,1
269,68,Male,Shoes,Footwear,42,Spring,2.6,1,1,1,21,Monthly,3
270,68,Male,Blouse,Clothing,44,Winter,3.3,1,1,1,9,Bi-Weekly,4
271,33,Male,Jeans,Clothing,52,Fall,4.6,1,1,1,16,Annually,1
272,65,Male,Sunglasses,Accessories,69,Summer,4.6,1,1,1,42,Bi-Weekly,4
273,48,Male,Jewelry,Accessories,26,Summer,4.4,1,1,1,37,Bi-Weekly,4
274,69,Male,Coat,Outerwear,33,Spring,4.2,1,1,1,32,Quarterly,2
275,59,Male,Jewelry,Accessories,32,Spring,3,1,1,1,28,Bi-Weekly,4
276,48,Male,Backpack,Accessories,85,Winter,4,1,1,1,13,Weekly,5
277,25,Male,Skirt,Clothing,30,Fall,3.5,1,1,1,11,Bi-Weekly,4
278,29,Male,Shirt,Clothing,29,Winter,3,1,1,1,36,Bi-Weekly,4
279,57,Male,Sweater,Clothing,95,Spring,3.7,1,1,1,23,Annually,1
280,23,Male,Sneakers,Footwear,69,Summer,4,1,1,1,37,Monthly,3
281,45,Male,Sandals,Footwear,69,Fall,4.2,1,1,1,21,Bi-Weekly,4
282,38,Male,Belt,Accessories,61,Spring,2.5,1,1,1,22,Bi-Weekly,4
283,21,Male,Skirt,Clothing,94,Summer,3,1,1,1,9,Monthly,3
284,32,Male,Sweater,Clothing,30,Fall,3.2,1,1,1,16,Annually,1
285,63,Male,Skirt,Clothing,45,Summer,3.5,1,1,1,4,Quarterly,2
286,29,Male,Handbag,Accessories,39,Summer,4.8,1,1,1,3,Bi-Weekly,4
287,27,Male,Jewelry,Accessories,51,Summer,2.6,1,1,1,6,Annually,1
288,56,Male,Scarf,Accessories,37,Spring,3.4,1,1,1,18,Bi-Weekly,4
289,30,Male,T-shirt,Clothing,62,Winter,3.7,1,1,1,34,Bi-Weekly,4
290,49,Male,Coat,Outerwear,85,Fall,4.5,1,1,1,26,Monthly,3
291,58,Male,T-shirt,Clothing,33,Winter,3.7,1,1,1,50,Weekly,5
292,57,Male,Dress,Clothing,26,Fall,3.3,1,1,1,40,Monthly,3
293,60,Male,Shoes,Footwear,99,Spring,4.7,1,1,1,24,Quarterly,2
294,69,Male,Handbag,Accessories,39,Spring,2.7,1,1,1,33,Annually,1
295,70,Male,Skirt,Clothing,20,Spring,4.6,1,1,1,19,Quarterly,2
296,53,Male,Sunglasses,Accessories,42,Winter,2.7,1,1,1,24,Quarterly,2
297,25,Male,Sandals,Footwear,74,Spring,4.8,1,1,1,19,Weekly,5
298,48,Male,Shoes,Footwear,26,Summer,4.4,1,1,1,4,Bi-Weekly,4
299,69,Male,T-shirt,Clothing,53,Winter,4,1,1,1,11,Quarterly,2
300,25,Male,Sneakers,Footwear,80,Summer,3.2,1,1,1,28,Bi-Weekly,4
301,29,Male,Hat,Accessories,98,Spring,4.4,1,1,1,24,Weekly,5
302,46,Male,Skirt,Clothing,95,Spring,3.8,1,1,1,25,Quarterly,2
303,37,Male,Sweater,Clothing,44,Summer,3.6,1,1,1,27,Quarterly,2
304,20,Male,Sandals,Footwear,60,Summer,3.3,1,1,1,49,Weekly,5
305,40,Male,Dress,Clothing,84,Winter,3.4,1,1,1,45,Bi-Weekly,4
306,60,Male,Sweater,Clothing,59,Fall,3.5,1,1,1,26,Annually,1
307,26,Male,Jacket,Outerwear,49,Summer,3.6,1,1,1,4,Annually,1
308,29,Male,Gloves,Accessories,32,Winter,3.2,1,1,1,3,Quarterly,2
309,66,Male,Handbag,Accessories,29,Fall,3.7,1,1,1,45,Bi-Weekly,4
310,66,Male,Dress,Clothing,22,Spring,4.5,1,1,1,21,Bi-Weekly,4
311,56,Male,Pants,Clothing,85,Winter,4.6,1,1,1,50,Bi-Weekly,4
312,69,Male,Jeans,Clothing,52,Winter,4.1,1,1,1,19,Monthly,3
313,38,Male,Pants,Clothing,89,Spring,3.4,1,1,1,6,Annually,1
314,42,Male,Dress,Clothing,77,Spring,3.7,1,1,1,50,Quarterly,2
315,30,Male,Pants,Clothing,24,Summer,3.3,1,1,1,17,Quarterly,2
316,66,Male,Jewelry,Accessories,24,Spring,4.5,1,1,1,24,Annually,1
317,36,Male,Handbag,Accessories,22,Fall,3.3,1,1,1,46,Monthly,3
318,58,Male,Sweater,Clothing,82,Fall,4.3,1,1,1,42,Quarterly,2
319,45,Male,Backpack,Accessories,67,Winter,2.5,1,1,1,10,Annually,1
320,47,Male,Shorts,Clothing,74,Spring,2.6,1,1,1,1,Quarterly,2
